run,cycles,instructions,cpi,sp,ra,exception_flag,label
1,1336570,1302744,1.02,2147501408,2147484704,1,memory_fault
2,832414,832338,1.00,2147501408,2147484704,1,memory_fault
3,825050,824930,1.00,2147501408,2147484704,1,memory_fault
4,824840,824690,1.00,2147501408,2147484704,1,memory_fault
5,823982,823740,1.00,2147501408,2147484704,1,memory_fault
6,824302,824280,1.00,2147501408,2147484704,1,memory_fault
7,826898,826948,0.99,2147501408,2147484704,1,memory_fault
8,824560,824472,1.00,2147501408,2147484704,1,memory_fault
9,986406,986558,0.99,2147501408,2147484704,1,memory_fault
10,821678,821558,1.00,2147501408,2147484704,1,memory_fault
11,827874,827852,1.00,2147501408,2147484704,1,memory_fault
12,825874,825836,1.00,2147501408,2147484704,1,memory_fault
13,809042,809002,1.00,2147501408,2147484704,1,memory_fault
14,821090,821022,1.00,2147501408,2147484704,1,memory_fault
15,809912,809722,1.00,2147501408,2147484704,1,memory_fault
16,806856,806728,1.00,2147501408,2147484704,1,memory_fault
17,824768,824702,1.00,2147501408,2147484704,1,memory_fault
18,808884,808838,1.00,2147501408,2147484704,1,memory_fault
19,824266,824186,1.00,2147501408,2147484704,1,memory_fault
20,867592,867648,0.99,2147501408,2147484704,1,memory_fault
21,813298,813088,1.00,2147501408,2147484704,1,memory_fault
22,827516,827502,1.00,2147501408,2147484704,1,memory_fault
23,824498,824354,1.00,2147501408,2147484704,1,memory_fault
24,892128,892236,0.99,2147501408,2147484704,1,memory_fault
25,824262,824162,1.00,2147501408,2147484704,1,memory_fault
26,824006,823862,1.00,2147501408,2147484704,1,memory_fault
27,824410,824422,0.99,2147501408,2147484704,1,memory_fault
28,825012,824912,1.00,2147501408,2147484704,1,memory_fault
29,827128,827018,1.00,2147501408,2147484704,1,memory_fault
30,824474,824386,1.00,2147501408,2147484704,1,memory_fault
31,827526,827402,1.00,2147501408,2147484704,1,memory_fault
32,824500,824516,0.99,2147501408,2147484704,1,memory_fault
33,824296,824146,1.00,2147501408,2147484704,1,memory_fault
34,824236,824180,1.00,2147501408,2147484704,1,memory_fault
35,824136,823988,1.00,2147501408,2147484704,1,memory_fault
36,824636,824500,1.00,2147501408,2147484704,1,memory_fault
37,824398,824204,1.00,2147501408,2147484704,1,memory_fault
38,827004,826882,1.00,2147501408,2147484704,1,memory_fault
39,824418,824264,1.00,2147501408,2147484704,1,memory_fault
40,893462,893364,1.00,2147501408,2147484704,1,memory_fault
41,824976,824806,1.00,2147501408,2147484704,1,memory_fault
42,827818,827882,0.99,2147501408,2147484704,1,memory_fault
43,824094,823876,1.00,2147501408,2147484704,1,memory_fault
44,824540,824408,1.00,2147501408,2147484704,1,memory_fault
45,854994,854854,1.00,2147501408,2147484704,1,memory_fault
46,808644,808680,0.99,2147501408,2147484704,1,memory_fault
47,824396,824246,1.00,2147501408,2147484704,1,memory_fault
48,824670,824524,1.00,2147501408,2147484704,1,memory_fault
49,824564,824402,1.00,2147501408,2147484704,1,memory_fault
50,834434,834296,1.00,2147501408,2147484704,1,memory_fault
51,824182,824030,1.00,2147501408,2147484704,1,memory_fault
52,824072,823916,1.00,2147501408,2147484704,1,memory_fault
53,827776,827652,1.00,2147501408,2147484704,1,memory_fault
54,880154,880004,1.00,2147501408,2147484704,1,memory_fault
55,827680,827912,0.99,2147501408,2147484704,1,memory_fault
56,824296,824202,1.00,2147501408,2147484704,1,memory_fault
57,826608,826554,1.00,2147501408,2147484704,1,memory_fault
58,824790,824636,1.00,2147501408,2147484704,1,memory_fault
59,824686,824542,1.00,2147501408,2147484704,1,memory_fault
60,824650,824532,1.00,2147501408,2147484704,1,memory_fault
61,880928,880884,1.00,2147501408,2147484704,1,memory_fault
62,827370,827334,1.00,2147501408,2147484704,1,memory_fault
63,824538,824416,1.00,2147501408,2147484704,1,memory_fault
64,860160,860050,1.00,2147501408,2147484704,1,memory_fault
65,838242,838090,1.00,2147501408,2147484704,1,memory_fault
66,827870,827770,1.00,2147501408,2147484704,1,memory_fault
67,824948,824722,1.00,2147501408,2147484704,1,memory_fault
68,824464,824300,1.00,2147501408,2147484704,1,memory_fault
69,824472,824286,1.00,2147501408,2147484704,1,memory_fault
