run,cycles,instructions,cpi,sp,ra,exception_flag,label
1,1151326,1118884,1.02,2147501168,2147484452,1,register_fault
2,863096,864550,0.99,2147501168,2147484452,1,register_fault
3,835472,834730,1.00,2147501168,2147484452,1,register_fault
4,827110,826958,1.00,2147501168,2147484452,1,register_fault
5,827876,827660,1.00,2147501168,2147484452,1,register_fault
6,936930,937206,0.99,2147501168,2147484452,1,register_fault
7,838152,838096,1.00,2147501168,2147484452,1,register_fault
8,817740,817544,1.00,2147501168,2147484452,1,register_fault
9,823626,823482,1.00,2147501168,2147484452,1,register_fault
10,818362,817312,1.00,2147501168,2147484452,1,register_fault
11,808170,807928,1.00,2147501168,2147484452,1,register_fault
12,826306,826176,1.00,2147501168,2147484452,1,register_fault
13,828446,828336,1.00,2147501168,2147484452,1,register_fault
14,816882,816822,1.00,2147501168,2147484452,1,register_fault
15,823712,823658,1.00,2147501168,2147484452,1,register_fault
16,825796,825768,1.00,2147501168,2147484452,1,register_fault
17,1033136,1035284,0.99,2147501168,2147484452,1,register_fault
18,812434,812010,1.00,2147501168,2147484452,1,register_fault
19,823852,823722,1.00,2147501168,2147484452,1,register_fault
20,811560,811410,1.00,2147501168,2147484452,1,register_fault
21,826706,826732,0.99,2147501168,2147484452,1,register_fault
22,807722,807686,1.00,2147501168,2147484452,1,register_fault
23,820416,820440,0.99,2147501168,2147484452,1,register_fault
24,820882,820818,1.00,2147501168,2147484452,1,register_fault
25,819744,819640,1.00,2147501168,2147484452,1,register_fault
26,822662,822632,1.00,2147501168,2147484452,1,register_fault
27,815850,815736,1.00,2147501168,2147484452,1,register_fault
28,807322,807228,1.00,2147501168,2147484452,1,register_fault
29,807686,807616,1.00,2147501168,2147484452,1,register_fault
30,807502,807306,1.00,2147501168,2147484452,1,register_fault
31,807832,807730,1.00,2147501168,2147484452,1,register_fault
32,810012,809930,1.00,2147501168,2147484452,1,register_fault
33,807494,807428,1.00,2147501168,2147484452,1,register_fault
34,809900,809894,1.00,2147501168,2147484452,1,register_fault
35,807898,807780,1.00,2147501168,2147484452,1,register_fault
36,882748,882850,0.99,2147501168,2147484452,1,register_fault
37,879404,879336,1.00,2147501168,2147484452,1,register_fault
38,839532,839260,1.00,2147501168,2147484452,1,register_fault
39,826374,826302,1.00,2147501168,2147484452,1,register_fault
40,832188,836748,0.99,2147501168,2147484452,1,register_fault
41,825312,825188,1.00,2147501168,2147484452,1,register_fault
42,835122,835008,1.00,2147501168,2147484452,1,register_fault
43,827884,827912,0.99,2147501168,2147484452,1,register_fault
44,825938,825882,1.00,2147501168,2147484452,1,register_fault
45,850324,850156,1.00,2147501168,2147484452,1,register_fault
46,856568,856426,1.00,2147501168,2147484452,1,register_fault
47,828632,828612,1.00,2147501168,2147484452,1,register_fault
48,825332,825290,1.00,2147501168,2147484452,1,register_fault
49,828900,828824,1.00,2147501168,2147484452,1,register_fault
50,835074,834922,1.00,2147501168,2147484452,1,register_fault
51,826022,825878,1.00,2147501168,2147484452,1,register_fault
52,826140,826190,0.99,2147501168,2147484452,1,register_fault
53,816420,816318,1.00,2147501168,2147484452,1,register_fault
