run,cycles,instructions,cpi,sp,ra,exception_flag,label
1,5387692,5350158,1.00,2147501184,2147484476,0,timing_fault
2,5162988,5163690,0.99,2147501184,2147484476,0,timing_fault
3,5534725,5538635,0.99,2147501184,2147484476,0,timing_fault
4,5341339,5343065,0.99,2147501184,2147484476,0,timing_fault
5,5110418,5110128,1.00,2147501184,2147484476,0,timing_fault
6,5329830,5329986,0.99,2147501184,2147484476,0,timing_fault
7,4960442,4960440,1.00,2147501184,2147484476,0,timing_fault
8,4950060,4950110,0.99,2147501184,2147484476,0,timing_fault
9,5045240,5045400,0.99,2147501184,2147484476,0,timing_fault
10,4948616,4948658,0.99,2147501184,2147484476,0,timing_fault
11,5328954,5330988,0.99,2147501184,2147484476,0,timing_fault
12,5234206,5233584,1.00,2147501184,2147484476,0,timing_fault
13,5133384,5133462,0.99,2147501184,2147484476,0,timing_fault
14,5267936,5267806,1.00,2147501184,2147484476,0,timing_fault
15,4957454,4957522,0.99,2147501184,2147484476,0,timing_fault
16,4964986,4965014,0.99,2147501184,2147484476,0,timing_fault
17,4965074,4965008,1.00,2147501184,2147484476,0,timing_fault
18,4901168,4901080,1.00,2147501184,2147484476,0,timing_fault
19,5305887,5310689,0.99,2147501184,2147484476,0,timing_fault
20,5332173,5335359,0.99,2147501184,2147484476,0,timing_fault
21,4867864,4867386,1.00,2147501184,2147484476,0,timing_fault
22,4842604,4842486,1.00,2147501184,2147484476,0,timing_fault
23,4857026,4856928,1.00,2147501184,2147484476,0,timing_fault
24,4842370,4842210,1.00,2147501184,2147484476,0,timing_fault
25,4854970,4854934,1.00,2147501184,2147484476,0,timing_fault
26,5106583,5109967,0.99,2147501184,2147484476,0,timing_fault
27,5176303,5179379,0.99,2147501184,2147484476,0,timing_fault
28,4875228,4874842,1.00,2147501184,2147484476,0,timing_fault
29,4892760,4892766,0.99,2147501184,2147484476,0,timing_fault
30,4995022,4994982,1.00,2147501184,2147484476,0,timing_fault
31,5066934,5066900,1.00,2147501184,2147484476,0,timing_fault
32,5261392,5261288,1.00,2147501184,2147484476,0,timing_fault
33,5102250,5102314,0.99,2147501184,2147484476,0,timing_fault
34,5278021,5281989,0.99,2147501184,2147484476,0,timing_fault
35,5313128,5312820,1.00,2147501184,2147484476,0,timing_fault
36,5119626,5118466,1.00,2147501184,2147484476,0,timing_fault
37,4953224,4953076,1.00,2147501184,2147484476,0,timing_fault
38,4985388,4985384,1.00,2147501184,2147484476,0,timing_fault
39,4953582,4953568,1.00,2147501184,2147484476,0,timing_fault
40,5026876,5026878,0.99,2147501184,2147484476,0,timing_fault
41,5104816,5105532,0.99,2147501184,2147484476,0,timing_fault
42,4952074,4952054,1.00,2147501184,2147484476,0,timing_fault
