run,cycles,instructions,cpi,sp,ra,exception_flag,label
1,1072932,1060092,1.01,2147501072,2147484380,0,normal
2,822048,821872,1.00,2147501072,2147484380,0,normal
3,829546,829484,1.00,2147501072,2147484380,0,normal
4,820710,820672,1.00,2147501072,2147484380,0,normal
5,841480,841514,0.99,2147501072,2147484380,0,normal
6,820946,820980,0.99,2147501072,2147484380,0,normal
7,820768,820828,0.99,2147501072,2147484380,0,normal
8,828122,828194,0.99,2147501072,2147484380,0,normal
9,820886,820808,1.00,2147501072,2147484380,0,normal
10,823294,823366,0.99,2147501072,2147484380,0,normal
11,820826,820858,0.99,2147501072,2147484380,0,normal
12,821122,821168,0.99,2147501072,2147484380,0,normal
13,820830,820898,0.99,2147501072,2147484380,0,normal
14,820872,820958,0.99,2147501072,2147484380,0,normal
15,823684,823688,0.99,2147501072,2147484380,0,normal
16,820974,820950,1.00,2147501072,2147484380,0,normal
17,827596,827626,0.99,2147501072,2147484380,0,normal
18,820744,820730,1.00,2147501072,2147484380,0,normal
19,820982,820974,1.00,2147501072,2147484380,0,normal
20,820880,820884,0.99,2147501072,2147484380,0,normal
21,820290,820270,1.00,2147501072,2147484380,0,normal
22,1363896,1366106,0.99,2147501072,2147484380,0,normal
23,822784,822510,1.00,2147501072,2147484380,0,normal
24,819192,819224,0.99,2147501072,2147484380,0,normal
25,809836,809846,0.99,2147501072,2147484380,0,normal
26,831486,831600,0.99,2147501072,2147484380,0,normal
27,820930,820902,1.00,2147501072,2147484380,0,normal
28,820726,820796,0.99,2147501072,2147484380,0,normal
29,828032,828064,0.99,2147501072,2147484380,0,normal
30,824488,824472,1.00,2147501072,2147484380,0,normal
31,821166,821094,1.00,2147501072,2147484380,0,normal
32,850130,850132,0.99,2147501072,2147484380,0,normal
33,821786,821736,1.00,2147501072,2147484380,0,normal
34,821456,821474,0.99,2147501072,2147484380,0,normal
35,834642,834670,0.99,2147501072,2147484380,0,normal
36,843660,843678,0.99,2147501072,2147484380,0,normal
37,820810,820784,1.00,2147501072,2147484380,0,normal
38,836474,836540,0.99,2147501072,2147484380,0,normal
39,872638,875012,0.99,2147501072,2147484380,0,normal
40,803340,803142,1.00,2147501072,2147484380,0,normal
41,802832,802824,1.00,2147501072,2147484380,0,normal
42,813592,813602,0.99,2147501072,2147484380,0,normal
43,802960,802942,1.00,2147501072,2147484380,0,normal
44,855934,855896,1.00,2147501072,2147484380,0,normal
45,802900,802914,0.99,2147501072,2147484380,0,normal
46,802736,802712,1.00,2147501072,2147484380,0,normal
47,803156,803184,0.99,2147501072,2147484380,0,normal
48,812636,812670,0.99,2147501072,2147484380,0,normal
49,808950,809024,0.99,2147501072,2147484380,0,normal
50,810448,810516,0.99,2147501072,2147484380,0,normal
51,804874,804848,1.00,2147501072,2147484380,0,normal
52,816960,816900,1.00,2147501072,2147484380,0,normal
53,821400,821340,1.00,2147501072,2147484380,0,normal
54,806066,806024,1.00,2147501072,2147484380,0,normal
55,820792,820928,0.99,2147501072,2147484380,0,normal
56,826436,826450,0.99,2147501072,2147484380,0,normal
57,819918,820012,0.99,2147501072,2147484380,0,normal
58,914366,914896,0.99,2147501072,2147484380,0,normal
59,881932,881914,1.00,2147501072,2147484380,0,normal
60,840912,840974,0.99,2147501072,2147484380,0,normal
61,820630,820616,1.00,2147501072,2147484380,0,normal
62,821262,821268,0.99,2147501072,2147484380,0,normal
63,823574,823696,0.99,2147501072,2147484380,0,normal
64,821256,821334,0.99,2147501072,2147484380,0,normal
65,825148,825218,0.99,2147501072,2147484380,0,normal
66,820872,820870,1.00,2147501072,2147484380,0,normal
67,820768,820754,1.00,2147501072,2147484380,0,normal
68,821070,821024,1.00,2147501072,2147484380,0,normal
69,820822,820816,1.00,2147501072,2147484380,0,normal
70,824230,824212,1.00,2147501072,2147484380,0,normal
71,820694,820678,1.00,2147501072,2147484380,0,normal
72,824168,824186,0.99,2147501072,2147484380,0,normal
73,825524,825482,1.00,2147501072,2147484380,0,normal
74,820860,820868,0.99,2147501072,2147484380,0,normal
75,821072,821044,1.00,2147501072,2147484380,0,normal
76,820904,820970,0.99,2147501072,2147484380,0,normal
77,829788,829842,0.99,2147501072,2147484380,0,normal
78,820942,820968,0.99,2147501072,2147484380,0,normal
79,825664,825672,0.99,2147501072,2147484380,0,normal
80,850730,850682,1.00,2147501072,2147484380,0,normal
81,807326,807340,0.99,2147501072,2147484380,0,normal
82,806616,806616,1.00,2147501072,2147484380,0,normal
83,803000,802948,1.00,2147501072,2147484380,0,normal
84,805186,805258,0.99,2147501072,2147484380,0,normal
85,802296,802308,0.99,2147501072,2147484380,0,normal
86,806074,806156,0.99,2147501072,2147484380,0,normal
87,802832,802810,1.00,2147501072,2147484380,0,normal
88,802880,802862,1.00,2147501072,2147484380,0,normal
89,802900,802852,1.00,2147501072,2147484380,0,normal
90,802456,802448,1.00,2147501072,2147484380,0,normal
91,805300,805300,1.00,2147501072,2147484380,0,normal
92,802708,802704,1.00,2147501072,2147484380,0,normal
93,846120,846348,0.99,2147501072,2147484380,0,normal
94,846282,846212,1.00,2147501072,2147484380,0,normal
95,803296,803270,1.00,2147501072,2147484380,0,normal
96,810928,810948,0.99,2147501072,2147484380,0,normal
97,802972,802968,1.00,2147501072,2147484380,0,normal
98,804772,804754,1.00,2147501072,2147484380,0,normal
99,802906,802838,1.00,2147501072,2147484380,0,normal
100,805156,805170,0.99,2147501072,2147484380,0,normal
101,802948,802936,1.00,2147501072,2147484380,0,normal
102,802552,802520,1.00,2147501072,2147484380,0,normal
103,802816,802790,1.00,2147501072,2147484380,0,normal
104,802830,802780,1.00,2147501072,2147484380,0,normal
105,805084,805114,0.99,2147501072,2147484380,0,normal
106,802074,802062,1.00,2147501072,2147484380,0,normal
107,807568,807568,1.00,2147501072,2147484380,0,normal
108,806512,806514,0.99,2147501072,2147484380,0,normal
109,819110,819160,0.99,2147501072,2147484380,0,normal
110,814664,814724,0.99,2147501072,2147484380,0,normal
111,802488,802510,0.99,2147501072,2147484380,0,normal
112,805296,805346,0.99,2147501072,2147484380,0,normal
113,802722,802744,0.99,2147501072,2147484380,0,normal
114,802962,803012,0.99,2147501072,2147484380,0,normal
115,802106,802160,0.99,2147501072,2147484380,0,normal
116,802416,802476,0.99,2147501072,2147484380,0,normal
117,806048,806142,0.99,2147501072,2147484380,0,normal
118,802512,802634,0.99,2147501072,2147484380,0,normal
119,813148,813186,0.99,2147501072,2147484380,0,normal
120,812246,812226,1.00,2147501072,2147484380,0,normal
121,802412,802484,0.99,2147501072,2147484380,0,normal
122,802752,802830,0.99,2147501072,2147484380,0,normal
123,802798,802796,1.00,2147501072,2147484380,0,normal
124,805152,805254,0.99,2147501072,2147484380,0,normal
125,802706,802752,0.99,2147501072,2147484380,0,normal
126,810440,810506,0.99,2147501072,2147484380,0,normal
127,802614,802446,1.00,2147501072,2147484380,0,normal
128,802762,802816,0.99,2147501072,2147484380,0,normal
129,802744,802812,0.99,2147501072,2147484380,0,normal
130,802666,802830,0.99,2147501072,2147484380,0,normal
131,873716,873846,0.99,2147501072,2147484380,0,normal
132,802836,802886,0.99,2147501072,2147484380,0,normal
133,809716,809842,0.99,2147501072,2147484380,0,normal
134,802604,802656,0.99,2147501072,2147484380,0,normal
135,802602,802602,1.00,2147501072,2147484380,0,normal
136,823934,823948,0.99,2147501072,2147484380,0,normal
137,812112,812096,1.00,2147501072,2147484380,0,normal
138,823660,823668,0.99,2147501072,2147484380,0,normal
139,842644,842692,0.99,2147501072,2147484380,0,normal
140,866774,866826,0.99,2147501072,2147484380,0,normal
141,859726,860110,0.99,2147501072,2147484380,0,normal
142,859072,859136,0.99,2147501072,2147484380,0,normal
143,882776,882814,0.99,2147501072,2147484380,0,normal
144,881766,881536,1.00,2147501072,2147484380,0,normal
145,880740,880728,1.00,2147501072,2147484380,0,normal
146,880646,880668,0.99,2147501072,2147484380,0,normal
147,884800,884840,0.99,2147501072,2147484380,0,normal
148,880572,880640,0.99,2147501072,2147484380,0,normal
149,884054,884176,0.99,2147501072,2147484380,0,normal
150,882206,882226,0.99,2147501072,2147484380,0,normal
151,886400,886308,1.00,2147501072,2147484380,0,normal
152,880706,880694,1.00,2147501072,2147484380,0,normal
153,884308,884388,0.99,2147501072,2147484380,0,normal
154,881336,881242,1.00,2147501072,2147484380,0,normal
155,883930,883924,1.00,2147501072,2147484380,0,normal
156,881252,881192,1.00,2147501072,2147484380,0,normal
157,881500,881488,1.00,2147501072,2147484380,0,normal
158,850646,850588,1.00,2147501072,2147484380,0,normal
159,820588,820578,1.00,2147501072,2147484380,0,normal
160,860738,860710,1.00,2147501072,2147484380,0,normal
161,865048,865040,1.00,2147501072,2147484380,0,normal
162,829584,829634,0.99,2147501072,2147484380,0,normal
163,838332,838282,1.00,2147501072,2147484380,0,normal
164,886474,887036,0.99,2147501072,2147484380,0,normal
165,844354,844290,1.00,2147501072,2147484380,0,normal
166,821002,821000,1.00,2147501072,2147484380,0,normal
167,820624,820604,1.00,2147501072,2147484380,0,normal
168,821280,821326,0.99,2147501072,2147484380,0,normal
169,823764,823856,0.99,2147501072,2147484380,0,normal
170,820552,820542,1.00,2147501072,2147484380,0,normal
171,822980,823140,0.99,2147501072,2147484380,0,normal
172,820934,820892,1.00,2147501072,2147484380,0,normal
173,821340,821266,1.00,2147501072,2147484380,0,normal
174,835860,835882,0.99,2147501072,2147484380,0,normal
175,820952,820966,0.99,2147501072,2147484380,0,normal
176,824324,824254,1.00,2147501072,2147484380,0,normal
177,821174,821222,0.99,2147501072,2147484380,0,normal
178,825148,825150,0.99,2147501072,2147484380,0,normal
179,821238,821290,0.99,2147501072,2147484380,0,normal
